TOURNAMENT,TEAM_0_NAME,TEAM_0_HEROES,TEAM_0_SIDE,TEAM_0_WIN,TEAM_1_NAME,TEAM_1_HEROES,TEAM_1_SIDE,TEAM_1_WIN
ESL One Birmingham  2019,Alliance,"['Troll Warlord', 'Ember Spirit', 'Necrophos', 'Earth Spirit', 'Oracle']",dire,0,Gambit Esports,"['Wraith King', 'Shadow Fiend', 'Centaur Warrunner', 'Bane', 'Winter Wyvern']",radiant,1
ESL One Birmingham  2019,Keen Gaming,"['Gyrocopter', 'Tidehunter', 'Razor', 'Nyx Assassin', 'Io']",dire,0,Gambit Esports,"['Sven', 'Shadow Fiend', 'Centaur Warrunner', 'Bane', 'Grimstroke']",radiant,1
ESL One Birmingham  2019,Gambit Esports,"['Wraith King', 'Templar Assassin', 'Batrider', 'Earth Spirit', 'Chen']",dire,1,Keen Gaming,"['Phantom Lancer', 'Timbersaw', 'Doom', 'Crystal Maiden', 'Troll Warlord']",radiant,0
ESL One Birmingham  2019,Gambit Esports,"['Morphling', 'Lone Druid', 'Underlord', 'Shadow Demon', 'Nyx Assassin']",dire,0,PSG.LGD,"['Naga Siren', 'Storm Spirit', 'Mars', 'Shadow Shaman', 'Pangolier']",radiant,1
ESL One Birmingham  2019,Gambit Esports,"['Juggernaut', 'Ember Spirit', 'Doom', 'Shadow Shaman', 'Pangolier']",dire,0,PSG.LGD,"['Sven', 'Templar Assassin', 'Dark Seer', 'Nyx Assassin', 'Ancient Apparition']",radiant,1
ESL One Birmingham  2019,Evil Geniuses,"['Phantom Assassin', 'Death Prophet', 'Pudge', 'Warlock', 'Pangolier']",dire,1,Gambit Esports,"['Ursa', 'Storm Spirit', 'Dark Seer', 'Shadow Shaman', 'Nyx Assassin']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Lifestealer', 'Leshrac', 'Brewmaster', 'Chen', 'Pangolier']",dire,1,Gambit Esports,"['Lone Druid', 'Queen of Pain', 'Legion Commander', 'Tiny', 'Warlock']",radiant,0
ESL One Birmingham  2019,Gambit Esports,"['Troll Warlord', 'Shadow Fiend', 'Dark Seer', 'Shadow Demon', 'Nyx Assassin']",dire,0,Team Secret,"['Sven', 'Arc Warden', 'Pangolier', 'Tiny', 'Lion']",radiant,1
ESL One Birmingham  2019,Gambit Esports,"['Wraith King', 'Pangolier', 'Necrophos', 'Rubick', 'Warlock']",dire,0,Team Secret,"['Sven', 'Ember Spirit', 'Tidehunter', 'Lion', 'Enigma']",radiant,1
ESL One Birmingham  2019,Alliance,"['Juggernaut', 'Tusk', 'Sand King', 'Disruptor', 'Morphling']",dire,0,Keen Gaming,"['Troll Warlord', 'Drow Ranger', 'Mars', 'Dark Willow', 'Rubick']",radiant,1
ESL One Birmingham  2019,Alliance,"['Bristleback', 'Lina', 'Troll Warlord', 'Keeper of the Light', 'Earthshaker']",dire,0,Keen Gaming,"['Juggernaut', 'Viper', 'Sand King', 'Grimstroke', ""Nature's Prophet""]",radiant,1
ESL One Birmingham  2019,Alliance,"['Sven', 'Queen of Pain', 'Batrider', 'Earth Spirit', 'Ancient Apparition']",dire,1,PSG.LGD,"['Lifestealer', 'Invoker', 'Pangolier', 'Shadow Demon', 'Grimstroke']",radiant,0
ESL One Birmingham  2019,PSG.LGD,"['Bloodseeker', 'Outworld Devourer', 'Sand King', 'Io', 'Disruptor']",dire,0,Alliance,"['Sven', 'Lina', 'Mars', 'Rubick', 'Dark Willow']",radiant,1
ESL One Birmingham  2019,Evil Geniuses,"['Alchemist', 'Queen of Pain', 'Omniknight', 'Nyx Assassin', 'Warlock']",dire,1,Alliance,"['Slark', 'Batrider', 'Juggernaut', 'Earth Spirit', 'Grimstroke']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Bristleback', 'Bloodseeker', 'Sand King', 'Shadow Shaman', 'Abaddon']",dire,1,Alliance,"['Wraith King', 'Ember Spirit', ""Nature's Prophet"", 'Earth Spirit', 'Grimstroke']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Spectre', 'Templar Assassin', 'Dark Seer', 'Spirit Breaker', 'Io']",dire,1,Alliance,"['Sven', 'Lina', 'Tidehunter', 'Dark Willow', 'Ancient Apparition']",radiant,0
ESL One Birmingham  2019,Alliance,"['Juggernaut', 'Morphling', 'Sand King', 'Grimstroke', 'Pangolier']",dire,0,Team Secret,"['Riki', 'Shadow Fiend', 'Mars', 'Ogre Magi', 'Crystal Maiden']",radiant,1
ESL One Birmingham  2019,PSG.LGD,"['Wraith King', 'Arc Warden', 'Batrider', 'Earthshaker', 'Chen']",dire,1,Keen Gaming,"['Lone Druid', 'Lycan', 'Shadow Shaman', 'Tiny', 'Warlock']",radiant,0
ESL One Birmingham  2019,Keen Gaming,"['Naga Siren', 'Templar Assassin', 'Slardar', 'Disruptor', 'Sand King']",dire,0,PSG.LGD,"['Alchemist', 'Doom', 'Jakiro', 'Rubick', 'Sven']",radiant,1
ESL One Birmingham  2019,Evil Geniuses,"['Lifestealer', 'Outworld Devourer', 'Doom', 'Shadow Demon', 'Earthshaker']",dire,1,Keen Gaming,"['Ursa', 'Dark Seer', 'Razor', 'Clockwerk', 'Disruptor']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Luna', 'Leshrac', 'Abaddon', 'Io', 'Sven']",dire,1,Keen Gaming,"['Medusa', 'Batrider', 'Razor', 'Earthshaker', 'Witch Doctor']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Gyrocopter', 'Ember Spirit', 'Ogre Magi', 'Io', 'Pugna']",dire,1,Keen Gaming,"['Lone Druid', 'Puck', 'Troll Warlord', 'Tusk', 'Chen']",radiant,0
ESL One Birmingham  2019,Keen Gaming,"['Razor', 'Batrider', 'Viper', 'Nyx Assassin', 'Brewmaster']",dire,1,Team Secret,"['Monkey King', 'Pangolier', 'Troll Warlord', 'Tiny', 'Lion']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Phantom Assassin', 'Outworld Devourer', 'Sand King', 'Warlock', 'Pangolier']",dire,0,PSG.LGD,"['Morphling', 'Mars', 'Dark Seer', 'Rubick', 'Earth Spirit']",radiant,1
ESL One Birmingham  2019,Evil Geniuses,"['Phantom Lancer', 'Riki', 'Magnus', 'Treant Protector', 'Crystal Maiden']",dire,0,PSG.LGD,"['Monkey King', 'Grimstroke', 'Doom', 'Bounty Hunter', 'Ogre Magi']",radiant,1
ESL One Birmingham  2019,Team Secret,"['Juggernaut', 'Silencer', 'Pangolier', 'Earthshaker', 'Disruptor']",dire,0,PSG.LGD,"['Lone Druid', 'Ember Spirit', 'Dark Seer', 'Shadow Shaman', 'Nyx Assassin']",radiant,1
ESL One Birmingham  2019,Team Secret,"['Spectre', 'Templar Assassin', 'Pudge', 'Lion', 'Earthshaker']",dire,1,PSG.LGD,"['Ursa', 'Techies', 'Sand King', 'Jakiro', 'Naga Siren']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Drow Ranger', 'Shadow Fiend', 'Visage', 'Puck', 'Pangolier']",dire,1,Team Secret,"['Morphling', 'Templar Assassin', 'Earth Spirit', 'Rubick', 'Warlock']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Ursa', 'Invoker', 'Mars', 'Jakiro', 'Crystal Maiden']",dire,0,Evil Geniuses,"['Sven', 'Leshrac', 'Omniknight', 'Earth Spirit', 'Chen']",radiant,1
ESL One Birmingham  2019,Team Liquid,"['Troll Warlord', 'Leshrac', 'Omniknight', 'Earth Spirit', 'Crystal Maiden']",dire,0,Gambit Esports,"['Lone Druid', 'Queen of Pain', 'Sand King', 'Winter Wyvern', 'Bane']",radiant,1
ESL One Birmingham  2019,Gambit Esports,"['Wraith King', 'Leshrac', 'Outworld Devourer', 'Nyx Assassin', 'Jakiro']",dire,0,Team Liquid,"['Lone Druid', 'Morphling', ""Nature's Prophet"", 'Shadow Shaman', 'Oracle']",radiant,1
ESL One Birmingham  2019,Gambit Esports,"['Troll Warlord', 'Templar Assassin', 'Centaur Warrunner', 'Earth Spirit', 'Warlock']",dire,1,Team Liquid,"['Morphling', 'Broodmother', 'Sand King', 'Shadow Shaman', 'Undying']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Lifestealer', 'Shadow Fiend', 'Visage', 'Earthshaker', 'Puck']",dire,0,TNC Predator,"['Sniper', 'Dark Seer', 'Wraith King', 'Earth Spirit', 'Ancient Apparition']",radiant,1
ESL One Birmingham  2019,Evil Geniuses,"['Lifestealer', 'Queen of Pain', 'Dark Seer', 'Nyx Assassin', 'Disruptor']",dire,1,TNC Predator,"['Troll Warlord', 'Batrider', 'Death Prophet', 'Sand King', 'Ancient Apparition']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Alchemist', 'Juggernaut', 'Doom', 'Shadow Shaman', 'Abaddon']",dire,1,TNC Predator,"['Medusa', 'Batrider', 'Razor', 'Nyx Assassin', 'Warlock']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Sven', 'Batrider', 'Medusa', 'Earthshaker', 'Warlock']",dire,1,Gambit Esports,"['Morphling', 'Lone Druid', 'Legion Commander', 'Shadow Shaman', 'Sand King']",radiant,0
ESL One Birmingham  2019,Gambit Esports,"['Lone Druid', 'Storm Spirit', 'Dark Seer', 'Lion', 'Earth Spirit']",dire,0,Team Secret,"['Anti-Mage', 'Ember Spirit', 'Beastmaster', 'Enigma', 'Abaddon']",radiant,1
ESL One Birmingham  2019,Vici Gaming,"['Wraith King', 'Zeus', 'Death Prophet', 'Nyx Assassin', 'Razor']",dire,0,PSG.LGD,"['Sniper', 'Pangolier', 'Centaur Warrunner', 'Shadow Shaman', 'Sven']",radiant,1
ESL One Birmingham  2019,PSG.LGD,"['Lone Druid', 'Batrider', 'Pudge', 'Pangolier', ""Nature's Prophet""]",dire,1,Vici Gaming,"['Spectre', 'Tiny', 'Doom', 'Grimstroke', 'Abaddon']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Terrorblade', 'Tidehunter', 'Enigma', 'Shadow Shaman', 'Lone Druid']",dire,1,OG,"['Monkey King', 'Beastmaster', 'Troll Warlord', 'Earth Spirit', 'Silencer']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Morphling', 'Mars', 'Ogre Magi', 'Grimstroke', 'Lone Druid']",dire,1,OG,"['Phantom Lancer', 'Troll Warlord', 'Sand King', 'Shadow Shaman', 'Chen']",radiant,0
ESL One Birmingham  2019,Gambit Esports,"['Sven', 'Templar Assassin', 'Tidehunter', 'Earth Spirit', 'Bane']",dire,1,Vici Gaming,"['Wraith King', 'Dark Seer', 'Razor', 'Nyx Assassin', 'Crystal Maiden']",radiant,0
ESL One Birmingham  2019,Gambit Esports,"['Sven', 'Leshrac', 'Legion Commander', 'Earth Spirit', 'Bane']",dire,1,Vici Gaming,"['Medusa', 'Batrider', 'Monkey King', 'Shadow Shaman', 'Disruptor']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Spectre', 'Ember Spirit', 'Tidehunter', 'Shadow Shaman', 'Enigma']",dire,1,TNC Predator,"['Troll Warlord', 'Outworld Devourer', 'Magnus', 'Rubick', 'Vengeful Spirit']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Troll Warlord', 'Morphling', 'Omniknight', 'Earth Spirit', 'Grimstroke']",dire,0,TNC Predator,"['Sniper', ""Nature's Prophet"", 'Sand King', 'Sven', 'Oracle']",radiant,1
ESL One Birmingham  2019,TNC Predator,"['Alchemist', ""Nature's Prophet"", 'Legion Commander', 'Oracle', 'Sven']",dire,0,Team Secret,"['Lifestealer', 'Templar Assassin', 'Ogre Magi', 'Rubick', 'Winter Wyvern']",radiant,1
ESL One Birmingham  2019,Evil Geniuses,"['Lifestealer', 'Leshrac', 'Dark Seer', 'Shadow Demon', 'Spirit Breaker']",dire,1,PSG.LGD,"['Sven', 'Queen of Pain', 'Mars', 'Dark Willow', 'Bane']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Naga Siren', 'Leshrac', 'Mars', 'Shadow Shaman', 'Abaddon']",dire,1,PSG.LGD,"['Wraith King', 'Storm Spirit', ""Nature's Prophet"", 'Earthshaker', 'Ancient Apparition']",radiant,0
ESL One Birmingham  2019,Team Secret,"['Medusa', 'Storm Spirit', 'Doom', 'Rubick', 'Ogre Magi']",dire,0,PSG.LGD,"['Sven', 'Death Prophet', 'Mars', 'Shadow Shaman', 'Pangolier']",radiant,1
ESL One Birmingham  2019,Team Secret,"['Sven', 'Leshrac', 'Venomancer', 'Earth Spirit', 'Chen']",dire,1,PSG.LGD,"['Medusa', 'Batrider', 'Doom', 'Rubick', 'Monkey King']",radiant,0
ESL One Birmingham  2019,PSG.LGD,"['Juggernaut', 'Leshrac', 'Dark Seer', 'Shadow Demon', 'Sven']",dire,0,Team Secret,"['Spectre', 'Shadow Fiend', 'Batrider', 'Earthshaker', 'Warlock']",radiant,1
ESL One Birmingham  2019,Team Secret,"['Sven', 'Storm Spirit', 'Leshrac', 'Rubick', 'Undying']",dire,1,Evil Geniuses,"['Arc Warden', 'Templar Assassin', 'Tidehunter', 'Bane', 'Enigma']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Sven', 'Leshrac', 'Doom', 'Grimstroke', 'Chen']",dire,1,Team Secret,"['Gyrocopter', 'Ember Spirit', 'Mars', 'Io', 'Undying']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Lifestealer', 'Leshrac', 'Centaur Warrunner', 'Io', 'Ogre Magi']",dire,0,Team Secret,"['Anti-Mage', 'Death Prophet', 'Sand King', 'Shadow Demon', 'Enigma']",radiant,1
ESL One Birmingham  2019,Evil Geniuses,"['Spectre', 'Storm Spirit', 'Mars', 'Ancient Apparition', 'Batrider']",dire,1,Team Secret,"['Phantom Assassin', 'Puck', 'Abaddon', 'Io', 'Templar Assassin']",radiant,0
ESL One Birmingham  2019,Evil Geniuses,"['Spectre', 'Death Prophet', 'Mars', 'Warlock', 'Doom']",dire,0,Team Secret,"['Naga Siren', 'Monkey King', 'Dark Seer', 'Shadow Shaman', 'Nyx Assassin']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,EHOME,"['Doom', 'Leshrac', 'Death Prophet', 'Sand King', 'Abaddon']",dire,0,Team Anvorgesa,"['Chaos Knight', 'Meepo', 'Dark Seer', 'Grimstroke', 'Batrider']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,EHOME,"['Templar Assassin', 'Leshrac', 'Beastmaster', 'Rubick', 'Oracle']",dire,1,Team Anvorgesa,"['Juggernaut', 'Ember Spirit', 'Magnus', 'Disruptor', 'Sand King']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,EHOME,"['Wraith King', 'Storm Spirit', 'Dark Seer', 'Spirit Breaker', 'Oracle']",dire,1,Team Anvorgesa,"['Sven', 'Templar Assassin', 'Centaur Warrunner', 'Shadow Shaman', 'Shadow Demon']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,Alliance,"['Lone Druid', 'Timbersaw', 'Clockwerk', 'Grimstroke', 'Sven']",dire,1,EHOME,"['Spectre', 'Kunkka', 'Leshrac', 'Spirit Breaker', 'Warlock']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,EHOME,"['Terrorblade', 'Leshrac', 'Omniknight', 'Shadow Shaman', 'Warlock']",dire,1,Alliance,"['Alchemist', 'Batrider', 'Pangolier', 'Oracle', 'Monkey King']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,EHOME,"['Medusa', 'Tidehunter', 'Wraith King', 'Tiny', 'Ancient Apparition']",dire,0,Alliance,"['Juggernaut', 'Batrider', 'Death Prophet', 'Earthshaker', 'Oracle']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,Team Anvorgesa,"['Chaos Knight', 'Leshrac', 'Dark Seer', 'Grimstroke', 'Warlock']",dire,0,Winstrike,"['Wraith King', 'Outworld Devourer', 'Sand King', 'Spirit Breaker', 'Ancient Apparition']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,Team Anvorgesa,"['Wraith King', 'Leshrac', 'Ember Spirit', 'Grimstroke', 'Warlock']",dire,1,Winstrike,"['Juggernaut', 'Templar Assassin', 'Dark Seer', 'Spirit Breaker', 'Chen']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,Team Anvorgesa,"['Wraith King', 'Ember Spirit', 'Brewmaster', 'Shadow Shaman', 'Warlock']",dire,1,Winstrike,"['Morphling', 'Dark Seer', 'Spirit Breaker', 'Rubick', 'Sven']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,Team Anvorgesa,"['Wraith King', 'Kunkka', 'Sand King', 'Rubick', 'Warlock']",dire,0,EHOME,"['Naga Siren', 'Lina', 'Templar Assassin', 'Tiny', 'Jakiro']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,EHOME,"['Sven', 'Storm Spirit', 'Tidehunter', 'Rubick', 'Warlock']",dire,0,Team Anvorgesa,"['Wraith King', 'Monkey King', 'Magnus', 'Tiny', 'Oracle']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,Team Anvorgesa,"['Lifestealer', 'Tiny', 'Magnus', 'Oracle', 'Monkey King']",dire,1,EHOME,"['Wraith King', 'Outworld Devourer', 'Dark Seer', 'Earth Spirit', 'Crystal Maiden']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,Alliance,"['Sven', 'Storm Spirit', 'Mars', 'Earth Spirit', 'Grimstroke']",dire,1,Winstrike,"['Wraith King', 'Templar Assassin', 'Sand King', 'Rubick', 'Ancient Apparition']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,Alliance,"['Morphling', 'Kunkka', 'Axe', 'Dark Willow', 'Abaddon']",dire,0,Winstrike,"['Spectre', 'Templar Assassin', 'Sand King', 'Earthshaker', 'Crystal Maiden']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,Winstrike,"['Spectre', 'Ember Spirit', 'Sand King', 'Earthshaker', 'Warlock']",dire,0,Alliance,"['Lone Druid', 'Batrider', 'Tusk', 'Ancient Apparition', 'Sven']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,Team Sirius,"['Naga Siren', 'Batrider', 'Abaddon', 'Lion', 'Leshrac']",dire,1,Ninjas in Pyjamas,"['Troll Warlord', 'Ember Spirit', 'Brewmaster', 'Shadow Shaman', 'Treant Protector']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,Ninjas in Pyjamas,"['Wraith King', 'Templar Assassin', 'Pangolier', 'Shadow Shaman', 'Enchantress']",dire,1,Team Sirius,"['Shadow Fiend', 'Death Prophet', 'Sand King', 'Warlock', 'Night Stalker']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,Ninjas in Pyjamas,"['Bristleback', 'Batrider', 'Lycan', 'Rubick', 'Abaddon']",dire,1,Team Sirius,"['Wraith King', 'Outworld Devourer', ""Nature's Prophet"", 'Ancient Apparition', 'Sand King']",radiant,0
StarLadder ImbaTV Dota 2 Minor Season 2,Mineski,"['Clinkz', 'Mars', 'Naga Siren', 'Riki', 'Grimstroke']",dire,0,Ninjas in Pyjamas,"['Lifestealer', 'Leshrac', 'Sand King', 'Lion', 'Enigma']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,Mineski,"['Phantom Assassin', 'Outworld Devourer', 'Sven', 'Ancient Apparition', 'Grimstroke']",dire,0,Ninjas in Pyjamas,"['Medusa', 'Puck', 'Abaddon', 'Rubick', 'Bristleback']",radiant,1
StarLadder ImbaTV Dota 2 Minor Season 2,Team Sirius,"['Sven', 'Lina', 'Broodmother', 'Grimstroke', 'Sand King']",dire,1,compLexity Gaming,"['Wraith King', 'Puck', 'Doom', 'Rubick', 'Warlock']",radiant,0
